trip_id,stop_id,arrival_time,departure_time,timepoint,stop_sequence,stop_headsign,route_short_name,pickup_type,drop_off_type,shape_dist_traveled
84,created_stop_3,13:05:08,13:05:08,,2,,,,,
84,created_stop_4,13:06:48,13:06:48,,3,,,,,
84,created_stop_5,13:08:35,13:08:35,,4,,,,,
85,created_stop_1,13:05:00,13:05:00,,0,,,,,
85,created_stop_2,13:07:26,13:07:26,,1,,,,,
85,created_stop_3,13:10:08,13:10:08,,2,,,,,
85,created_stop_4,13:11:48,13:11:48,,3,,,,,
85,created_stop_5,13:13:35,13:13:35,,4,,,,,
86,created_stop_1,13:10:00,13:10:00,,0,,,,,
86,created_stop_2,13:12:26,13:12:26,,1,,,,,
86,created_stop_3,13:15:08,13:15:08,,2,,,,,
86,created_stop_4,13:16:48,13:16:48,,3,,,,,
86,created_stop_5,13:18:35,13:18:35,,4,,,,,
87,created_stop_1,13:15:00,13:15:00,,0,,,,,
87,created_stop_2,13:17:26,13:17:26,,1,,,,,
87,created_stop_3,13:20:08,13:20:08,,2,,,,,
87,created_stop_4,13:21:48,13:21:48,,3,,,,,
87,created_stop_5,13:23:35,13:23:35,,4,,,,,
88,created_stop_1,13:20:00,13:20:00,,0,,,,,
88,created_stop_2,13:22:26,13:22:26,,1,,,,,
88,created_stop_3,13:25:08,13:25:08,,2,,,,,
88,created_stop_4,13:26:48,13:26:48,,3,,,,,
88,created_stop_5,13:28:35,13:28:35,,4,,,,,
89,created_stop_1,13:25:00,13:25:00,,0,,,,,
89,created_stop_2,13:27:26,13:27:26,,1,,,,,
89,created_stop_3,13:30:08,13:30:08,,2,,,,,
89,created_stop_4,13:31:48,13:31:48,,3,,,,,
89,created_stop_5,13:33:35,13:33:35,,4,,,,,
90,created_stop_1,13:30:00,13:30:00,,0,,,,,
90,created_stop_2,13:32:26,13:32:26,,1,,,,,
90,created_stop_3,13:35:08,13:35:08,,2,,,,,
90,created_stop_4,13:36:48,13:36:48,,3,,,,,
90,created_stop_5,13:38:35,13:38:35,,4,,,,,
91,created_stop_1,13:35:00,13:35:00,,0,,,,,
91,created_stop_2,13:37:26,13:37:26,,1,,,,,
91,created_stop_3,13:40:08,13:40:08,,2,,,,,
91,created_stop_4,13:41:48,13:41:48,,3,,,,,
91,created_stop_5,13:43:35,13:43:35,,4,,,,,
92,created_stop_1,13:40:00,13:40:00,,0,,,,,
92,created_stop_2,13:42:26,13:42:26,,1,,,,,
92,created_stop_3,13:45:08,13:45:08,,2,,,,,
92,created_stop_4,13:46:48,13:46:48,,3,,,,,
92,created_stop_5,13:48:35,13:48:35,,4,,,,,
93,created_stop_1,13:45:00,13:45:00,,0,,,,,
93,created_stop_2,13:47:26,13:47:26,,1,,,,,
93,created_stop_3,13:50:08,13:50:08,,2,,,,,
